player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Muhammad Rohid,1410354,MI Emirates,2024,International League T20,-0.164,-0.002,0,0,-0.164,-0.002,NA,0,NA,NA,NA,NA,NA,NA,9,135,105,18,43,7.714,15,NA,NA,105,0.171,NA,NA,0.41,NA,NA,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,NA,NA,NA
Muhammad Waseem,1241277,MI Emirates,2023,International League T20,12.81,0.046,29.034,0.11,-16.224,-1.352,367,265,50,104,24,232,119,11,0,30,12,5,2,15,Inf,1.385,33.364,277,0.417,0.189,0.091,0.167,0.392,0.513,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348612.4.jpg
Muhammad Waseem,1241277,MI Emirates,2024,International League T20,128.652,0.596,128.652,0.596,0,0,321,216,44,83,18,182,108,10,NA,NA,0,NA,NA,NA,NA,1.486,32.1,216,NA,0.204,0.083,NA,0.384,0.593,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348612.4.jpg
Muhammad Zuhaib,1241253,Gulf Giants,2024,International League T20,12.003,0.097,-5.294,-0.662,17.296,0.149,4,8,0,4,0,9,4,NA,11,148,116,16,40,7.655,13.455,0.5,NA,124,0.138,0,0,0.345,0.5,0.444,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,NA,NA,NA
Mujeeb Ur Rahman,974109,Dubai Capitals,2023,International League T20,-30.783,-0.282,1.47,0.735,-32.253,-0.301,4,2,1,1,0,1,0,NA,5,170,107,26,40,9.533,34,2,NA,109,0.243,0.5,0,0.374,0.5,0,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303282.jpg
Mujeeb Ur Rahman,974109,Gulf Giants,2024,International League T20,-4.109,-0.04,-3.32,-1.107,-0.789,-0.008,3,3,0,1,0,3,3,1,3,130,101,16,39,7.723,43.333,1,3,104,0.158,0,0,0.386,0.333,1,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303282.jpg
Najibullah Zadran,524049,MI Emirates,2023,International League T20,-2.705,-0.063,-2.705,-0.063,0,0,66,43,10,23,8,35,10,5,NA,NA,0,NA,NA,NA,NA,1.535,13.2,43,NA,0.233,0.186,NA,0.535,0.286,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316698.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316698.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303283.jpg
Nathan Sowter,747315,Desert Vipers,2024,International League T20,25.863,0.392,0,0,25.863,0.392,NA,0,NA,NA,NA,NA,NA,NA,4,68,66,7,28,6.182,17,NA,NA,66,0.106,NA,NA,0.424,NA,NA,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/324300/324374.png,https://www.espncricinfo.com/db/PICTURES/CMS/324300/324374.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Naveen-ul-Haq,793447,Sharjah Warriors,2023,International League T20,-32.85,-0.163,-4.554,-0.285,-28.296,-0.153,16,16,2,6,0,16,8,1,9,268,185,37,66,8.692,29.778,1,16,201,0.2,0.125,0,0.357,0.375,0.5,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320502.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320502.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303285.jpg
Nicholas Pooran,604302,MI Emirates,2023,International League T20,38.627,0.155,38.627,0.155,0,0,355,249,43,84,23,221,137,7,NA,NA,0,NA,NA,NA,NA,1.426,50.714,249,NA,0.173,0.092,NA,0.337,0.62,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/302200/302286.jpg
