player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Ellie Johnston,1249772,Adelaide Strikers Women,2024,T20 Spring Challenge,2.807,0.056,2.807,0.056,0,0,61,50,6,19,1,48,35,5,NA,NA,0,NA,NA,NA,NA,1.22,12.2,50,NA,0.12,0.02,NA,0.38,0.729,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364929.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364929.png,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346956.4.jpg
Elsa Hunter,1171524,Sydney Sixers Women,2024,T20 Spring Challenge,9.806,0.175,9.806,0.175,0,0,68,56,8,22,2,50,32,3,NA,NA,0,NA,NA,NA,NA,1.214,22.667,56,NA,0.143,0.036,NA,0.393,0.64,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Elyse Villani,275442,Hobart Hurricanes Women,2024,T20 Spring Challenge,5.038,0.097,5.038,0.097,0,0,64,52,10,20,1,42,22,3,NA,NA,0,NA,NA,NA,NA,1.231,21.333,52,NA,0.192,0.019,NA,0.385,0.524,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320131.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320131.png,https://www.espncricinfo.com/db/PICTURES/CMS/282400/282463.1.jpg
Emerson Filsell,1441420,Adelaide Strikers Women,2024,T20 Spring Challenge,-13.666,-0.759,0,0,-13.666,-0.759,NA,0,NA,NA,NA,NA,NA,NA,1,36,18,6,6,12,36,NA,NA,18,0.333,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emma Manix-Geeves,1148577,Hobart Hurricanes Women,2024,T20 Spring Challenge,-10.344,-0.235,-10.344,-0.235,0,0,40,44,2,16,1,42,30,2,NA,NA,0,NA,NA,NA,NA,0.909,20,44,NA,0.045,0.023,NA,0.364,0.714,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Emma de Broughe,1201485,Melbourne Renegades Women,2024,T20 Spring Challenge,37.257,0.245,33.167,0.415,4.091,0.057,119,80,16,18,0,68,55,4,5,81,72,7,28,6.75,16.2,1.488,29.75,152,0.097,0.2,0,0.389,0.225,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erin Burns,275447,Sydney Sixers Women,2024,T20 Spring Challenge,26.291,0.172,24.618,0.286,1.672,0.025,113,86,15,23,0,78,53,1,1,68,67,6,24,6.09,68,1.314,113,153,0.09,0.174,0,0.358,0.267,0.679,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326534.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305800/305807.jpg
Eva Ragg,1454760,Sydney Sixers Women,2024,T20 Spring Challenge,-0.045,-0.045,-0.045,-0.045,0,0,1,1,0,0,0,1,1,1,NA,NA,0,NA,NA,NA,NA,1,1,1,NA,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frankie Nicklin,1354671,Sydney Sixers Women,2024,T20 Spring Challenge,-15.736,-0.171,0.824,0.037,-16.56,-0.237,30,22,3,4,1,19,16,NA,3,94,70,13,24,8.057,31.333,1.364,NA,92,0.186,0.136,0.045,0.343,0.182,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia Adams,469879,Sydney Thunder Women,2024,T20 Spring Challenge,-17.384,-0.497,1.204,0.241,-18.588,-0.62,8,5,1,2,1,4,2,1,1,53,30,9,9,10.6,53,1.6,8,35,0.3,0.2,0.2,0.3,0.4,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326537.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326537.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324796.4.jpg
Georgia Prestwidge,792417,Melbourne Renegades Women,2024,T20 Spring Challenge,-34.684,-0.35,-5.066,-0.154,-29.618,-0.449,33,33,3,15,1,32,19,3,5,105,66,17,20,9.545,21,1,11,99,0.258,0.091,0.03,0.303,0.455,0.594,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364931.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364931.png,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346957.4.jpg
Georgia Redmayne,381197,Brisbane Heat Women,2024,T20 Spring Challenge,54.5,0.381,54.5,0.381,0,0,208,143,36,54,2,120,60,5,NA,NA,0,NA,NA,NA,NA,1.455,41.6,143,NA,0.252,0.014,NA,0.378,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326484.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326484.png,https://www.espncricinfo.com/db/PICTURES/CMS/325000/325007.4.jpg
Georgia Voll,1215360,Sydney Thunder Women,2024,T20 Spring Challenge,2.837,0.03,13.684,0.236,-10.847,-0.285,78,58,13,23,1,48,24,3,1,51,38,7,16,8.053,51,1.345,26,96,0.184,0.224,0.017,0.421,0.397,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364912.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364912.png,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346949.4.jpg
