player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Finch,5334,Melbourne Renegades,2019,Big Bash League,55.307,0.212,55.307,0.212,0,0,363,261,39,74,16,235,175,8,NA,NA,0,NA,NA,NA,NA,1.391,45.375,261,NA,0.149,0.061,NA,0.284,0.745,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2020,Big Bash League,4.445,0.028,4.445,0.028,0,0,179,157,23,61,3,141,81,13,NA,NA,0,NA,NA,NA,NA,1.14,13.769,157,NA,0.146,0.019,NA,0.389,0.574,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2021,Big Bash League,27.857,0.092,31.054,0.105,-3.197,-0.533,386,296,41,87,18,266,186,10,0,10,6,1,0,10,Inf,1.304,38.6,302,0.167,0.139,0.061,0,0.294,0.699,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2022,Big Bash League,-0.967,-0.003,-0.967,-0.003,0,0,428,352,53,131,14,312,188,11,NA,NA,0,NA,NA,NA,NA,1.216,38.909,352,NA,0.151,0.04,NA,0.372,0.603,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Melbourne Renegades,2023,Big Bash League,-23.581,-0.337,-23.581,-0.337,0,0,66,70,6,25,0,66,42,4,NA,NA,0,NA,NA,NA,NA,0.943,16.5,70,NA,0.086,0,NA,0.357,0.636,MR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png,#e20808,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Hardie,1124283,Perth Scorchers,2018,Big Bash League,-13.42,-0.433,-3.293,-0.47,-10.127,-0.422,8,7,1,2,0,7,4,1,2,38,24,5,6,9.5,19,1.143,8,31,0.208,0.143,0,0.25,0.286,0.571,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
Aaron Hardie,1124283,Perth Scorchers,2020,Big Bash League,-42.178,-0.115,-2.626,-0.029,-39.552,-0.143,121,91,11,25,5,83,67,6,11,399,276,46,80,8.674,36.273,1.33,20.167,367,0.167,0.121,0.055,0.29,0.275,0.807,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
Aaron Hardie,1124283,Perth Scorchers,2021,Big Bash League,16.317,0.136,2.507,0.03,13.811,0.384,115,84,10,24,6,76,63,6,4,40,36,5,14,6.667,10,1.369,19.167,120,0.139,0.119,0.071,0.389,0.286,0.829,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
Aaron Hardie,1124283,Perth Scorchers,2022,Big Bash League,65.805,0.16,62.247,0.192,3.558,0.041,460,324,62,111,17,271,178,11,5,113,87,9,23,7.793,22.6,1.42,41.818,411,0.103,0.191,0.052,0.264,0.343,0.657,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
Aaron Hardie,1124283,Perth Scorchers,2023,Big Bash League,29.742,0.088,35.178,0.148,-5.436,-0.054,314,237,28,61,14,218,174,9,7,115,101,14,48,6.832,16.429,1.325,34.889,338,0.139,0.118,0.059,0.475,0.257,0.798,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#f27107,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,#524F51,#EAF41D,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313651.1.jpg
