player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Amy Hunter,1229014,Guyana Amazon Warriors Women,2025,Women's Caribbean Premier League,2.669,0.083,2.669,0.083,0,0,37,32,6,17,0,26,13,2,NA,NA,0,NA,NA,NA,NA,1.156,18.5,32,NA,0.188,0,NA,0.531,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/346200/346251.png,https://www.espncricinfo.com/db/PICTURES/CMS/346200/346251.png,https://www.espncricinfo.com/db/PICTURES/CMS/334900/334989.2.jpg
Anisa Mohammed,55187,Trinbago Knight Riders Women,2022,Women's Caribbean Premier League,17.932,0.498,0,0,17.932,0.498,NA,0,NA,NA,NA,NA,NA,NA,4,26,36,0,13,4.333,6.5,NA,NA,36,0,NA,NA,0.361,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320594.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320594.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306131.png
Anisa Mohammed,55187,Trinbago Knight Riders Women,2023,Women's Caribbean Premier League,-28.888,-0.289,-18.093,-0.603,-10.796,-0.154,20,30,2,17,0,28,12,3,5,92,70,11,31,7.886,18.4,0.667,6.667,100,0.157,0.067,0,0.443,0.567,0.429,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320594.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320594.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306131.png
Anisa Mohammed,55187,Trinbago Knight Riders Women,2024,Women's Caribbean Premier League,-3.737,-0.046,-7.647,-0.546,3.91,0.058,8,14,0,7,0,14,8,NA,2,65,67,7,32,5.821,32.5,0.571,NA,81,0.104,0,0,0.478,0.5,0.571,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320594.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320594.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306131.png
Ashmini Munisar,1352168,Guyana Amazon Warriors Women,2024,Women's Caribbean Premier League,-28.14,-0.64,-19.063,-0.502,-9.077,-1.513,21,38,0,22,0,39,21,2,0,14,6,2,1,14,Inf,0.553,10.5,44,0.333,0,0,0.167,0.579,0.538,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,NA,NA,NA
Ashmini Munisar,1352168,Guyana Amazon Warriors Women,2025,Women's Caribbean Premier League,15.028,0.301,-4.639,-0.928,19.667,0.437,2,5,0,2,0,5,2,1,5,36,45,3,21,4.8,7.2,0.4,2,50,0.067,0,0,0.467,0.4,0.4,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,NA,NA,NA
Ayabonga Khaka,387261,Guyana Amazon Warriors Women,2022,Women's Caribbean Premier League,13.184,0.527,0,0,13.184,0.527,NA,0,NA,NA,NA,NA,NA,NA,1,11,25,0,16,2.64,11,NA,NA,25,0,NA,NA,0.64,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320637.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320637.png,https://www.espncricinfo.com/db/PICTURES/CMS/307200/307245.png
Britney Cooper,424629,Barbados Royals Women,2022,Women's Caribbean Premier League,-14.105,-1.175,-14.105,-1.175,0,0,4,12,0,9,0,12,4,3,NA,NA,0,NA,NA,NA,NA,0.333,1.333,12,NA,0,0,NA,0.75,0.333,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320595.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320595.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306133.png
Britney Cooper,424629,Trinbago Knight Riders Women,2023,Women's Caribbean Premier League,-5.469,-0.608,-5.469,-0.608,0,0,9,9,1,5,0,8,5,2,NA,NA,0,NA,NA,NA,NA,1,4.5,9,NA,0.111,0,NA,0.556,0.625,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320595.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320595.png,https://www.espncricinfo.com/db/PICTURES/CMS/306100/306133.png
Carena Noel,530216,Trinbago Knight Riders Women,2023,Women's Caribbean Premier League,-9.631,-0.876,-9.631,-0.876,0,0,4,11,0,7,0,12,4,1,NA,NA,0,NA,NA,NA,NA,0.364,4,11,NA,0,0,NA,0.636,0.333,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/370900/370957.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/370900/370957.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/370900/370957.4.jpg
