player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
James Vince,296597,Southern Brave (Men),2021,The Hundred Men's Competition,-2.411,-0.014,-2.411,-0.014,0,0,229,177,32,67,6,147,89,8,NA,NA,0,NA,NA,NA,NA,1.294,28.625,177,NA,0.181,0.034,NA,0.379,0.605,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303961.jpg
James Vince,296597,Southern Brave (Men),2022,The Hundred Men's Competition,22.36,0.26,22.36,0.26,0,0,136,86,18,22,5,71,54,6,NA,NA,0,NA,NA,NA,NA,1.581,22.667,86,NA,0.209,0.058,NA,0.256,0.761,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303961.jpg
James Vince,296597,Southern Brave (Men),2023,The Hundred Men's Competition,1.982,0.016,1.982,0.016,0,0,172,127,21,42,6,111,76,6,NA,NA,0,NA,NA,NA,NA,1.354,28.667,127,NA,0.165,0.047,NA,0.331,0.685,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303961.jpg
James Vince,296597,Southern Brave (Men),2024,The Hundred Men's Competition,-1.329,-0.019,-1.329,-0.019,0,0,95,70,14,25,2,63,35,3,NA,NA,0,NA,NA,NA,NA,1.357,31.667,70,NA,0.2,0.029,NA,0.357,0.556,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/323000/323001.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303961.jpg
Jamie Overton,510530,Manchester Originals (Men),2023,The Hundred Men's Competition,52.452,0.268,49.985,0.467,2.467,0.028,200,107,29,31,12,84,60,5,3,117,89,11,21,1.315,39,1.869,40,196,0.124,0.271,0.112,0.236,0.29,0.714,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324243.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324243.png,https://www.espncricinfo.com/db/PICTURES/CMS/164400/164477.1.jpg
Jamie Overton,510530,Manchester Originals (Men),2024,The Hundred Men's Competition,-17.46,-0.38,-17.46,-0.38,0,0,48,46,5,19,2,42,24,3,NA,NA,0,NA,NA,NA,NA,1.043,16,46,NA,0.109,0.043,NA,0.413,0.571,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324243.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324243.png,https://www.espncricinfo.com/db/PICTURES/CMS/164400/164477.1.jpg
Jamie Smith,1096092,Birmingham Phoenix (Men),2023,The Hundred Men's Competition,24.078,0.215,24.078,0.215,0,0,178,112,24,30,10,93,62,6,NA,NA,0,NA,NA,NA,NA,1.589,29.667,112,NA,0.214,0.089,NA,0.268,0.667,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/296200/296213.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/296200/296213.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/296200/296213.1.jpg
Jason Roy,298438,Oval Invincibles (Men),2021,The Hundred Men's Competition,35.143,0.281,35.143,0.281,0,0,186,125,26,36,9,101,64,5,NA,NA,0,NA,NA,NA,NA,1.488,37.2,125,NA,0.208,0.072,NA,0.288,0.634,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303963.jpg
Jason Roy,298438,Oval Invincibles (Men),2022,The Hundred Men's Competition,-13.08,-0.256,-13.08,-0.256,0,0,51,51,6,20,1,49,25,6,NA,NA,0,NA,NA,NA,NA,1,8.5,51,NA,0.118,0.02,NA,0.392,0.51,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303963.jpg
Jason Roy,298438,Oval Invincibles (Men),2023,The Hundred Men's Competition,-3.26,-0.027,-3.26,-0.027,0,0,154,120,23,48,3,101,56,9,NA,NA,0,NA,NA,NA,NA,1.283,17.111,120,NA,0.192,0.025,NA,0.4,0.554,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319791.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303963.jpg
