player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Fakhar Zaman,512191,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,0.551,0.069,0.551,0.069,0,0,13,8,2,3,1,6,3,1,0,0,0,0,0,NA,NA,1.625,13,8,NA,0.25,0.125,NA,0.375,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320449.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320449.png,https://www.espncricinfo.com/db/PICTURES/CMS/302700/302771.jpg
George Munsey,671805,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,18.927,0.946,18.927,0.946,0,0,41,20,6,5,4,15,9,1,0,0,0,0,0,NA,NA,2.05,41,20,NA,0.3,0.2,NA,0.25,0.6,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320365.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320365.png,https://www.espncricinfo.com/db/PICTURES/CMS/215100/215121.1.jpg
Hardik Pandya,625371,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-1.189,-0.033,-10.591,-0.963,9.403,0.376,7,11,1,8,0,11,3,1,2,24,25,2,11,5.76,12,0.636,7,36,0.08,0.091,0,0.44,0.727,0.273,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/319900/319938.png,https://www.espncricinfo.com/db/PICTURES/CMS/319900/319938.png,https://www.espncricinfo.com/db/PICTURES/CMS/304200/304201.png
Haris Rauf,1161606,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,8.745,0.486,0,0,8.745,0.486,0,0,0,0,0,0,0,0,3,21,18,4,10,7,7,NA,NA,18,0.222,NA,NA,0.556,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322202.png,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322202.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312183.png
Iftikhar Ahmed,480603,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-3.505,-0.234,-5.682,-0.71,2.177,0.311,5,8,0,3,0,10,5,1,0,7,7,1,3,6,Inf,0.625,5,15,0.143,0,0,0.429,0.375,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322153.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322153.png,https://www.espncricinfo.com/db/PICTURES/CMS/194700/194751.1.jpg
Imad Wasim,227758,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-5.501,-0.131,-12.392,-0.539,6.891,0.363,15,23,1,12,0,22,11,1,0,18,19,1,5,5.684,Inf,0.652,15,42,0.053,0.043,0,0.263,0.522,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320451.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320451.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302871.jpg
Jasprit Bumrah,625383,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,14.857,0.594,-4.031,-4.031,18.888,0.787,0,1,0,1,0,1,0,1,3,15,24,1,14,3.75,5,0,0,25,0.042,0,0,0.583,1,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/319900/319940.png,https://www.espncricinfo.com/db/PICTURES/CMS/319900/319940.png,https://www.espncricinfo.com/db/PICTURES/CMS/356800/356849.1.png
Kaleemullah,1077307,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-2.826,-0.236,0,0,-2.826,-0.236,0,0,0,0,0,0,0,0,0,17,12,3,6,8.5,Inf,NA,NA,12,0.25,NA,NA,0.5,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321773.png,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321773.png,https://www.espncricinfo.com/db/PICTURES/CMS/260600/260630.1.jpg
Khalid Kail,624813,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-7.911,-1.13,-7.911,-1.13,0,0,5,7,0,3,0,7,5,1,0,0,0,0,0,NA,NA,0.714,5,7,NA,0,0,NA,0.429,0.714,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,NA,NA,NA
Mark Watt,659081,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,4.51,0.173,0,0,4.51,0.173,0,0,0,0,0,0,0,0,2,25,26,2,8,5.769,12.5,NA,NA,26,0.077,NA,NA,0.308,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320372.png,https://www.espncricinfo.com/db/PICTURES/CMS/320300/320372.png,https://www.espncricinfo.com/db/PICTURES/CMS/179800/179841.1.jpg
