player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
AB de Villiers,44936,Royal Challengers Bangalore,2021,Indian Premier League,44.315,0.21,44.315,0.21,0,0,313,211,39,66,16,176,125,10,NA,NA,0,NA,NA,NA,NA,1.483,31.3,211,NA,0.185,0.076,NA,0.313,0.71,RCB,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313418.logo.png,#ef4022,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2014,Pepsi Indian Premier League,84.193,0.339,84.193,0.339,0,0,395,248,50,70,24,205,147,11,NA,NA,0,NA,NA,NA,NA,1.593,35.909,248,NA,0.202,0.097,NA,0.282,0.717,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
AB de Villiers,44936,Royal Challengers Bangalore,2015,Pepsi Indian Premier League,165.533,0.67,165.533,0.67,0,0,456,247,72,63,21,183,126,10,NA,NA,0,NA,NA,NA,NA,1.846,45.6,247,NA,0.291,0.085,NA,0.255,0.689,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316555.png,https://www.espncricinfo.com/db/PICTURES/CMS/263700/263764.1.jpg
Aakash Chopra,27639,Kolkata Knight Riders,2007,Indian Premier League,-40.523,-0.779,-40.523,-0.779,0,0,42,52,5,27,0,50,22,5,NA,NA,0,NA,NA,NA,NA,0.808,8.4,52,NA,0.096,0,NA,0.519,0.44,KKR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313419.logo.png,#3d2256,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302397.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302397.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302397.jpg
Aakash Chopra,27639,Kolkata Knight Riders,2009,Indian Premier League,-13.971,-0.735,-13.971,-0.735,0,0,11,19,2,13,0,18,3,1,NA,NA,0,NA,NA,NA,NA,0.579,11,19,NA,0.105,0,NA,0.684,0.167,KKR,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313419.logo.png,#3d2256,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302397.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302397.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/302300/302397.jpg
Aaron Finch,5334,Delhi Daredevils,2011,Indian Premier League,-37.809,-0.641,-39.383,-0.856,1.574,0.121,47,46,6,24,3,45,17,6,0,13,13,1,5,6,Inf,1.022,7.833,59,0.077,0.13,0.065,0.385,0.522,0.378,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Delhi Daredevils,2012,Indian Premier League,-4.006,-0.079,-4.006,-0.079,0,0,55,51,8,21,0,44,23,2,NA,NA,0,NA,NA,NA,NA,1.078,27.5,51,NA,0.157,0,NA,0.412,0.523,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Gujarat Lions,2016,Indian Premier League,49.913,0.168,49.913,0.168,0,0,393,297,56,105,11,255,147,10,NA,NA,0,NA,NA,NA,NA,1.323,39.3,297,NA,0.189,0.037,NA,0.354,0.576,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Gujarat Lions,2017,Indian Premier League,61.723,0.345,61.723,0.345,0,0,299,179,44,58,19,142,85,12,NA,NA,0,NA,NA,NA,NA,1.67,24.917,179,NA,0.246,0.106,NA,0.324,0.599,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Finch,5334,Punjab Kings,2018,Indian Premier League,-1.38,-0.014,-1.38,-0.014,0,0,134,100,14,26,8,88,62,8,NA,NA,0,NA,NA,NA,NA,1.34,16.75,100,NA,0.14,0.08,NA,0.26,0.705,PBKS,https://www.espncricinfo.com/db/PICTURES/CMS/317000/317003.png,#b32524,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Indian_Premier_League_Official_Logo.svg/1080px-Indian_Premier_League_Official_Logo.svg.png,#19398A,#5091CD,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
