player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Kadeem Alleyne,1264431,Trinbago Knight Riders,2023,Caribbean Premier League,0.429,0.054,0.922,0.184,-0.493,-0.164,9,5,1,1,1,4,3,2,0,4,3,0,0,8,Inf,1.8,4.5,8,0,0.2,0.2,0,0.2,0.75,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Keacy Carty,820677,Trinbago Knight Riders,2023,Caribbean Premier League,0.751,0.008,0.751,0.008,0,0,121,94,14,35,5,88,55,2,NA,NA,0,NA,NA,NA,NA,1.287,60.5,94,NA,0.149,0.053,NA,0.372,0.625,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/203600/203699.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/203600/203699.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/203600/203699.1.jpg
Keemo Paul,677081,Guyana Amazon Warriors,2023,Caribbean Premier League,49.61,0.247,47.509,0.428,2.101,0.023,175,111,23,41,15,100,53,5,6,123,90,16,29,8.2,20.5,1.577,35,201,0.178,0.207,0.135,0.322,0.369,0.53,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/355400/355400.png,https://www.espncricinfo.com/db/PICTURES/CMS/355400/355400.png,https://www.espncricinfo.com/db/PICTURES/CMS/352300/352355.4.jpg
Kelvin Pitman,1323740,Jamaica Tallawahs,2023,Caribbean Premier League,7.472,0.22,0,0,7.472,0.22,NA,0,NA,NA,NA,NA,NA,NA,3,44,34,4,8,7.765,14.667,NA,NA,34,0.118,NA,NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Wickham,1295903,Barbados Royals,2023,Caribbean Premier League,-7.82,-0.412,-7.82,-0.412,0,0,19,19,2,12,2,17,7,2,NA,NA,0,NA,NA,NA,NA,1,9.5,19,NA,0.105,0.105,NA,0.632,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevlon Anderson,1209188,Guyana Amazon Warriors,2023,Caribbean Premier League,-14.564,-0.324,-14.564,-0.324,0,0,53,45,4,12,1,42,35,2,NA,NA,0,NA,NA,NA,NA,1.178,26.5,45,NA,0.089,0.022,NA,0.267,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khary Pierre,581160,St Lucia Kings,2023,Caribbean Premier League,25.659,0.204,4.181,0.523,21.478,0.182,13,8,2,2,0,6,5,NA,9,136,118,15,50,6.915,15.111,1.625,NA,126,0.127,0.25,0,0.424,0.25,0.833,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322018.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322018.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322018.png
Kieron Pollard,230559,Trinbago Knight Riders,2023,Caribbean Premier League,24.89,0.18,24.89,0.18,0,0,215,138,28,47,16,119,71,9,NA,NA,0,NA,NA,NA,NA,1.558,23.889,138,NA,0.203,0.116,NA,0.341,0.597,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320107.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320107.png,https://www.espncricinfo.com/db/PICTURES/CMS/203300/203305.1.jpg
Kimani Melius,1131646,St Lucia Kings,2023,Caribbean Premier League,-3.737,-3.737,-3.737,-3.737,0,0,0,1,0,1,0,1,0,1,NA,NA,0,NA,NA,NA,NA,0,0,1,NA,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/366200/366239.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/366200/366239.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/366200/366239.4.jpg
Kirk McKenzie,1209196,Jamaica Tallawahs,2023,Caribbean Premier League,-42.01,-0.477,-42.01,-0.477,0,0,72,88,10,53,2,82,28,7,NA,NA,0,NA,NA,NA,NA,0.818,10.286,88,NA,0.114,0.023,NA,0.602,0.341,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326134.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326134.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326135.4.jpg
