player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Aaron Finch,5334,Australia,2022,ICC Men's T20 World Cup,9.155,0.094,9.155,0.094,0,0,107,97,11,39,5,96,53,2,NA,NA,0,NA,NA,NA,NA,1.103,53.5,97,NA,0.113,0.052,NA,0.402,0.552,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316533.png,https://www.espncricinfo.com/db/PICTURES/CMS/304000/304053.jpg
Aaron Johnson,1323683,Canada,2024,ICC Men's T20 World Cup,-35.63,-0.488,-35.63,-0.488,0,0,89,73,16,39,4,59,17,3,NA,NA,0,NA,NA,NA,NA,1.219,29.667,73,NA,0.219,0.055,NA,0.534,0.288,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Aaron Jones,957645,United States of America,2024,ICC Men's T20 World Cup,16.442,0.158,16.442,0.158,0,0,152,104,20,46,14,91,44,3,NA,NA,0,NA,NA,NA,NA,1.462,50.667,104,NA,0.192,0.135,NA,0.442,0.484,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/286800/286882.1.jpg
Aaron Phangiso,46942,South Africa,2015,ICC Men's T20 World Cup,20.311,0.376,-2.511,-0.502,22.822,0.466,4,5,0,1,0,5,4,1,4,45,49,5,23,5.51,11.25,0.8,4,54,0.102,0,0,0.469,0.2,0.8,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316561.png,https://www.espncricinfo.com/db/PICTURES/CMS/238100/238129.jpg
Aaron Redmond,38264,New Zealand,2009,ICC Men's T20 World Cup,40.902,0.718,40.902,0.718,0,0,101,57,19,18,1,38,23,3,NA,NA,0,NA,NA,NA,NA,1.772,33.667,57,NA,0.333,0.018,NA,0.316,0.605,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303611.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303611.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303611.png
Aaron Redmond,38264,New Zealand,2010,ICC Men's T20 World Cup,-5.32,-0.355,-5.32,-0.355,0,0,16,15,1,6,1,14,10,1,NA,NA,0,NA,NA,NA,NA,1.067,16,15,NA,0.067,0.067,NA,0.4,0.714,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303611.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303611.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303611.png
Aasif Sheikh,1058514,Nepal,2024,ICC Men's T20 World Cup,-26.198,-0.369,-26.198,-0.369,0,0,63,71,10,40,1,64,21,3,NA,NA,0,NA,NA,NA,NA,0.887,21,71,NA,0.141,0.014,NA,0.563,0.328,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/330400/330462.png,https://www.espncricinfo.com/db/PICTURES/CMS/330400/330462.png,https://www.espncricinfo.com/db/PICTURES/CMS/330400/330463.1.jpg
Aayan Afzal Khan,1241265,United Arab Emirates,2022,ICC Men's T20 World Cup,13.051,0.172,-13.743,-0.491,26.793,0.558,24,28,1,13,0,28,20,2,3,38,48,2,20,4.75,12.667,0.857,12,76,0.042,0.036,0,0.417,0.464,0.714,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354956.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348618.4.jpg
Abbas Afridi,1158538,Pakistan,2024,ICC Men's T20 World Cup,-20.681,-0.504,-8.726,-0.416,-11.955,-0.598,17,21,2,12,1,19,7,1,0,32,20,3,4,9.6,Inf,0.81,17,41,0.15,0.095,0.048,0.2,0.571,0.368,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322158.png,https://www.espncricinfo.com/db/PICTURES/CMS/322100/322158.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abdul Razzaq,39836,Pakistan,2009,ICC Men's T20 World Cup,16.101,0.15,-8.277,-0.259,24.377,0.325,32,32,1,11,1,31,26,1,6,83,75,11,34,6.64,13.833,1,32,107,0.147,0.031,0.031,0.453,0.344,0.839,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320445.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320445.png,https://www.espncricinfo.com/db/PICTURES/CMS/203000/203079.1.jpg
