player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Anton Devcich,36948,Northern Brave,2018,Super Smash,8.636,0.055,26.112,0.568,-17.476,-0.156,56,46,11,24,1,35,10,5,8,135,112,15,37,7.232,16.875,1.217,11.2,158,0.134,0.239,0.022,0.33,0.522,0.286,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png
Anton Devcich,36948,Northern Brave,2019,Super Smash,-62.834,-0.217,26.779,0.191,-89.613,-0.601,208,140,33,48,5,117,66,9,3,238,149,31,40,9.584,79.333,1.486,23.111,289,0.208,0.236,0.036,0.268,0.343,0.564,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png
Anton Devcich,36948,Northern Brave,2020,Super Smash,74.471,0.449,74.471,0.449,0,0,286,166,40,47,20,134,86,7,NA,NA,0,NA,NA,NA,NA,1.723,40.857,166,NA,0.241,0.12,NA,0.283,0.642,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303784.png
Anurag Verma,326973,Northern Brave,2019,Super Smash,-21.327,-0.089,-9.165,-0.436,-12.162,-0.056,27,21,3,8,1,18,13,4,13,309,218,33,64,8.505,23.769,1.286,6.75,239,0.151,0.143,0.048,0.294,0.381,0.722,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg
Anurag Verma,326973,Northern Brave,2020,Super Smash,-5.665,-0.07,-0.268,-0.268,-5.397,-0.067,1,1,0,0,0,1,1,NA,4,108,80,12,21,8.1,27,1,NA,81,0.15,0,0,0.262,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg
Anurag Verma,326973,Northern Brave,2021,Super Smash,-6.998,-0.028,-26.13,-0.396,19.132,0.104,54,66,5,28,0,64,34,3,16,220,184,26,72,7.174,13.75,0.818,18,250,0.141,0.076,0,0.391,0.424,0.531,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg
Anurag Verma,326973,Wellington Blaze,2017,Super Smash,-48.545,-0.354,-8.684,-0.724,-39.861,-0.319,10,12,0,3,0,12,10,2,10,202,125,26,34,9.696,20.2,0.833,5,137,0.208,0,0,0.272,0.25,0.833,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/86700/86761.1.jpg
Bayley Wiggins,1173272,Central Hinds,2018,Super Smash,3.758,0.939,3.758,0.939,0,0,8,4,1,0,0,3,4,NA,NA,NA,0,NA,NA,NA,NA,2,NA,4,NA,0.25,0,NA,0,1.333,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bayley Wiggins,1173272,Central Hinds,2020,Super Smash,-20.865,-0.696,-20.865,-0.696,0,0,34,30,5,14,0,26,14,4,NA,NA,0,NA,NA,NA,NA,1.133,8.5,30,NA,0.167,0,NA,0.467,0.538,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bayley Wiggins,1173272,Central Hinds,2021,Super Smash,20.419,0.215,20.419,0.215,0,0,132,95,19,36,4,80,48,7,NA,NA,0,NA,NA,NA,NA,1.389,18.857,95,NA,0.2,0.042,NA,0.379,0.6,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
