player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Matiullah Khan,1241201,Abu Dhabi Knight Riders,2022,International League T20,-64.074,-0.582,-20.939,-1.047,-43.135,-0.479,9,20,0,9,0,20,9,3,3,141,90,18,27,9.4,47,0.45,3,110,0.2,0,0,0.3,0.45,0.45,ADKR,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349617.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/318300/318397.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/318300/318397.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/318300/318397.1.jpg
Matiullah Khan,1241201,Abu Dhabi Knight Riders,2023,International League T20,-12.541,-0.836,0,0,-12.541,-0.836,NA,0,NA,NA,NA,NA,NA,NA,1,35,15,6,4,14,35,NA,NA,15,0.4,NA,NA,0.267,NA,NA,ADKR,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349617.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/318300/318397.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/318300/318397.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/318300/318397.1.jpg
Max Holden,641387,Dubai Capitals,2023,International League T20,-24.182,-0.474,-24.182,-0.474,0,0,67,51,12,23,0,39,19,5,NA,NA,0,NA,NA,NA,NA,1.314,13.4,51,NA,0.235,0,NA,0.451,0.487,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Michael Jones,1093091,Desert Vipers,2023,International League T20,-9.025,-0.43,-9.025,-0.43,0,0,20,21,2,9,1,19,10,1,NA,NA,0,NA,NA,NA,NA,0.952,20,21,NA,0.095,0.048,NA,0.429,0.526,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322444.png,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322444.png,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322444.png
Michael Pepper,772293,Abu Dhabi Knight Riders,2023,International League T20,71.198,0.421,71.198,0.421,0,0,229,169,39,65,6,130,61,9,NA,NA,0,NA,NA,NA,NA,1.355,25.444,169,NA,0.231,0.036,NA,0.385,0.469,ADKR,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349617.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/358300/358324.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/358300/358324.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/358300/358324.1.jpg
Moeen Ali,8917,Sharjah Warriors,2022,International League T20,-39.06,-0.482,-26.449,-0.383,-12.611,-1.051,76,69,5,22,2,64,52,7,1,26,12,5,4,13,26,1.101,10.857,81,0.417,0.072,0.029,0.333,0.319,0.812,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316557.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316557.png,https://www.espncricinfo.com/db/PICTURES/CMS/289600/289661.1.jpg
Mohammad Amir,290948,Desert Vipers,2023,International League T20,-6.213,-0.029,-0.785,-0.262,-5.428,-0.025,5,3,1,1,0,2,1,1,14,258,214,33,82,7.234,18.429,1.667,5,217,0.154,0.333,0,0.383,0.333,0.5,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320457.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320457.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302820.jpg
Mohammad Nabi,25913,Sharjah Warriors,2022,International League T20,-43.973,-0.24,-18.031,-0.203,-25.943,-0.276,98,89,10,27,4,79,50,6,3,136,94,14,28,8.681,45.333,1.101,16.333,183,0.149,0.112,0.045,0.298,0.303,0.633,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316558.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316558.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303280.jpg
Muhammad Jawadullah,1353033,Sharjah Warriors,2022,International League T20,8.746,0.054,-6.926,-0.866,15.672,0.101,3,8,0,4,0,8,3,NA,6,179,155,18,46,6.929,29.833,0.375,NA,163,0.116,0,0,0.297,0.5,0.375,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Muhammad Jawadullah,1353033,Sharjah Warriors,2023,International League T20,-15.405,-0.111,-3.737,-3.737,-11.668,-0.085,0,1,0,1,0,1,0,1,10,186,138,26,53,8.087,18.6,0,0,139,0.188,0,0,0.384,1,0,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Muhammad Rohid,1410354,MI Emirates,2023,International League T20,-0.164,-0.002,0,0,-0.164,-0.002,NA,0,NA,NA,NA,NA,NA,NA,9,135,105,18,43,7.714,15,NA,NA,105,0.171,NA,NA,0.41,NA,NA,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,NA,NA,NA
Muhammad Waseem,1241277,MI Emirates,2022,International League T20,12.81,0.044,29.034,0.103,-16.224,-1.352,367,282,50,104,24,232,119,11,0,30,12,5,2,15,Inf,1.301,33.364,294,0.417,0.177,0.085,0.167,0.369,0.513,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348612.4.jpg
Muhammad Waseem,1241277,MI Emirates,2023,International League T20,128.652,0.569,128.652,0.569,0,0,321,226,44,83,18,182,108,10,NA,NA,0,NA,NA,NA,NA,1.42,32.1,226,NA,0.195,0.08,NA,0.367,0.593,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/354900/354962.png,https://www.espncricinfo.com/db/PICTURES/CMS/348600/348612.4.jpg
Muhammad Zuhaib,1241253,Gulf Giants,2023,International League T20,12.003,0.096,-5.294,-0.588,17.296,0.149,4,9,0,4,0,9,4,NA,11,148,116,16,40,7.655,13.455,0.444,NA,125,0.138,0,0,0.345,0.444,0.444,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,NA,NA,NA
Mujeeb Ur Rahman,974109,Dubai Capitals,2022,International League T20,-30.783,-0.282,1.47,0.735,-32.253,-0.301,4,2,1,1,0,1,0,NA,5,170,107,26,40,9.533,34,2,NA,109,0.243,0.5,0,0.374,0.5,0,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303282.jpg
Mujeeb Ur Rahman,974109,Gulf Giants,2023,International League T20,-4.109,-0.04,-3.32,-1.107,-0.789,-0.008,3,3,0,1,0,3,3,1,3,130,101,16,39,7.723,43.333,1,3,104,0.158,0,0,0.386,0.333,1,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320501.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303282.jpg
Najibullah Zadran,524049,MI Emirates,2022,International League T20,-2.705,-0.06,-2.705,-0.06,0,0,66,45,10,23,8,35,10,5,NA,NA,0,NA,NA,NA,NA,1.467,13.2,45,NA,0.222,0.178,NA,0.511,0.286,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316698.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316698.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303283.jpg
Nathan Sowter,747315,Desert Vipers,2023,International League T20,25.863,0.392,0,0,25.863,0.392,NA,0,NA,NA,NA,NA,NA,NA,4,68,66,7,28,6.182,17,NA,NA,66,0.106,NA,NA,0.424,NA,NA,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/324300/324374.png,https://www.espncricinfo.com/db/PICTURES/CMS/324300/324374.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Naveen-ul-Haq,793447,Sharjah Warriors,2022,International League T20,-32.85,-0.162,-4.554,-0.253,-28.296,-0.153,16,18,2,6,0,16,8,1,9,268,185,37,66,8.692,29.778,0.889,16,203,0.2,0.111,0,0.357,0.333,0.5,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320502.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320502.png,https://www.espncricinfo.com/db/PICTURES/CMS/303200/303285.jpg
Nicholas Pooran,604302,MI Emirates,2022,International League T20,38.627,0.146,38.627,0.146,0,0,355,264,43,84,23,221,137,7,NA,NA,0,NA,NA,NA,NA,1.345,50.714,264,NA,0.163,0.087,NA,0.318,0.62,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/302200/302286.jpg
Nicholas Pooran,604302,MI Emirates,2023,International League T20,92.303,0.418,92.303,0.418,0,0,354,221,48,66,31,173,100,7,NA,NA,0,NA,NA,NA,NA,1.602,50.571,221,NA,0.217,0.14,NA,0.299,0.578,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/302200/302286.jpg
Nilansh Keswani,1241280,Sharjah Warriors,2023,International League T20,-6.233,-0.445,-6.296,-0.787,0.063,0.01,5,8,0,4,0,8,5,1,1,10,6,1,1,10,10,0.625,5,14,0.167,0,0,0.167,0.5,0.625,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,NA,NA,NA
