player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Ashton Turner,500268,Perth Scorchers,2023,Big Bash League,-0.079,-0.004,-0.347,-0.02,0.268,0.268,19,17,2,6,1,15,9,NA,0,1,1,0,0,6,Inf,1.118,NA,18,0,0.118,0.059,0,0.353,0.6,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321560.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321560.png,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148141.1.jpg
Beau Webster,381329,Melbourne Stars,2023,Big Bash League,-21.454,-0.069,-34.817,-0.148,13.363,0.176,262,236,28,85,7,208,136,6,6,90,76,8,19,7.105,15,1.11,43.667,312,0.105,0.119,0.03,0.25,0.36,0.654,MS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313470.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313642.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313642.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313642.1.jpg
Ben Dwarshuis,679567,Sydney Sixers,2023,Big Bash League,38.858,0.159,-2.842,-0.124,41.701,0.188,33,23,4,9,3,19,11,5,16,263,222,31,86,7.108,16.438,1.435,6.6,245,0.14,0.174,0.13,0.387,0.391,0.579,SS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313471.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/220000/220099.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/220000/220099.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/220000/220099.1.jpg
Ben Manenti,1065115,Adelaide Strikers,2023,Big Bash League,-20.01,-0.435,-10.337,-0.304,-9.673,-0.806,35,34,2,11,0,32,27,2,0,25,12,4,2,12.5,Inf,1.029,17.5,46,0.333,0.059,0,0.167,0.324,0.844,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ben McDermott,603410,Hobart Hurricanes,2023,Big Bash League,35.557,0.181,35.557,0.181,0,0,261,196,37,77,12,159,89,6,NA,NA,0,NA,NA,NA,NA,1.332,43.5,196,NA,0.189,0.061,NA,0.393,0.56,HH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313467.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321563.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321563.png,https://www.espncricinfo.com/db/PICTURES/CMS/179400/179423.1.jpg
Billy Stanlake,533042,Hobart Hurricanes,2023,Big Bash League,-7.849,-0.374,0,0,-7.849,-0.374,NA,0,NA,NA,NA,NA,NA,NA,0,32,21,2,4,9.143,Inf,NA,NA,21,0.095,NA,NA,0.19,NA,NA,HH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313467.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321564.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321564.png,https://www.espncricinfo.com/db/PICTURES/CMS/179400/179427.1.jpg
Brendan Doggett,931603,Adelaide Strikers,2023,Big Bash League,-17.626,-0.979,0,0,-17.626,-0.979,NA,0,NA,NA,NA,NA,NA,NA,0,40,18,6,6,13.333,Inf,NA,NA,18,0.333,NA,NA,0.333,NA,NA,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/300600/300625.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/300600/300625.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/300600/300625.1.jpg
Caleb Jewell,834741,Hobart Hurricanes,2023,Big Bash League,16.046,0.108,16.046,0.108,0,0,187,149,27,55,3,122,73,9,NA,NA,0,NA,NA,NA,NA,1.255,20.778,149,NA,0.181,0.02,NA,0.369,0.598,HH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313467.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346968.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346968.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346968.4.jpg
Cameron Bancroft,501011,Sydney Thunder,2023,Big Bash League,-58.65,-0.298,-58.65,-0.298,0,0,224,197,22,58,3,175,130,8,NA,NA,0,NA,NA,NA,NA,1.137,28,197,NA,0.112,0.015,NA,0.294,0.743,ST,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313472.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321568.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321568.png,https://www.espncricinfo.com/db/PICTURES/CMS/303000/303050.jpg
Cameron Boyce,326625,Adelaide Strikers,2023,Big Bash League,61.555,0.235,-3.858,-1.929,65.413,0.252,1,2,0,1,0,2,1,1,15,294,260,20,78,6.785,19.6,0.5,1,262,0.077,0,0,0.3,0.5,0.5,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313644.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313644.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313644.1.jpg
