player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341226,NA,-2.529,-0.253,-2.529,-0.253,0,0,10,10,0,2,0,10,10,1,0,0,0,0,0,NA,NA,1,10,10,NA,0,0,NA,0.2,1,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341232,NA,3.571,1.19,3.571,1.19,0,0,7,3,1,0,0,2,3,0,0,0,0,0,0,NA,NA,2.333,Inf,3,NA,0.333,0,NA,0,1.5,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341234,NA,-4.134,-1.034,-4.134,-1.034,0,0,2,4,0,2,0,4,2,1,0,0,0,0,0,NA,NA,0.5,2,4,NA,0,0,NA,0.5,0.5,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341240,NA,-11.703,-1.3,-11.703,-1.3,0,0,4,9,0,6,0,9,4,1,0,0,0,0,0,NA,NA,0.444,4,9,NA,0,0,NA,0.667,0.444,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341241,NA,-1.591,-0.796,-1.591,-0.796,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,NA,NA,0,NA,2,NA,0,0,NA,1,0,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341247,NA,-2.043,-0.186,-2.043,-0.186,0,0,11,11,0,2,0,11,11,1,0,0,0,0,0,NA,NA,1,11,11,NA,0,0,NA,0.182,1,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341248,NA,-2.211,-0.737,-2.211,-0.737,0,0,3,3,0,0,0,3,3,1,0,0,0,0,0,NA,NA,1,3,3,NA,0,0,NA,0,1,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341253,NA,-6.761,-0.26,-6.761,-0.26,0,0,22,26,2,10,0,24,14,1,0,0,0,0,0,NA,NA,0.846,22,26,NA,0.077,0,NA,0.385,0.583,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341255,NA,-0.045,-0.045,-0.045,-0.045,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,NA,NA,0,0,1,NA,0,0,NA,0,0,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigale Gerken,1252498,Canterbury Women,2022,Women's Super Smash,1341257,NA,2.563,0.128,2.563,0.128,0,0,21,20,3,7,0,17,9,1,0,0,0,0,0,NA,NA,1.05,21,20,NA,0.15,0,NA,0.35,0.529,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Allie Mace-Cochrane,701739,Canterbury Women,2021,Women's Super Smash,1290641,NA,-3.338,-1.113,-3.338,-1.113,0,0,0,3,0,1,0,3,0,1,0,0,0,0,0,NA,NA,0,0,3,NA,0,0,NA,0.333,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/174600/174697.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/174600/174697.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/174600/174697.1.jpg
